"season","date","score","team","spi","games","manexp","mangf","gfor","gaga","xgfor","xgaga","xgfor1","xgaga1","locadj","gf.ga"
2019,2019-08-25,3,"Lazio",0.6851,93,0.64367816091954,1.90322580645161,1.05263157894737,1.10526315789474,1.29719298245614,1.17964912280702,1.42,1.20947368421053,0.796888504753673,0.952380952380952
2019,2019-08-25,3,"Atalanta",0.6642,259,0.465979381443299,1.19305019305019,2.15789473684211,1.42105263157895,1.9619298245614,1.32666666666667,1.88026315789474,1.27842105263158,0.797495682210708,1.51851851851852
2019,2019-08-25,1,"Sassuolo",0.6107,76,0.787114845938375,1.21052631578947,1.05263157894737,1.42105263157895,1.0180701754386,1.55298245614035,1.00447368421053,1.61184210526316,0.797238999137187,0.740740740740741
2019,2019-08-25,0,"Milan",0.7672,151,0.322869955156951,1.05298013245033,1.26315789473684,1,1.27333333333333,1.15789473684211,1.27447368421053,1.21184210526316,0.796895213454075,1.26315789473684
2019,2019-08-26,0,"Lecce",0.5385,57,0.736111111111111,1.31578947368421,1.06900584795322,1.94736842105263,1.14992787524366,1.86281481481481,1.17124269005848,1.83447953216374,0.795523030563926,0.56231884057971
2019,2019-08-30,0,"SPAL",0.5558,225,0.367977528089888,1.47111111111111,1.26315789473684,1.57894736842105,1.10964912280702,1.63631578947368,1.02631578947368,1.63026315789474,0.795180722891566,0.8
2019,2019-08-31,3,"Napoli",0.8198,361,0.381849315068493,1.66204986149584,4,3,2.58,2.13666666666667,1.77,1.63,0.795103092783505,1.33333333333333
2019,2019-08-31,0,"Brescia",0.5726,82,0.646551724137931,1.1219512195122,1,0,1.11666666666667,0.98,1.15,1.47,0.794761700300558,1
2019,2019-09-01,3,"Torino",0.6373,278,0.478424015009381,1.17625899280576,1.05263157894737,0.947368421052632,1.08157894736842,1.22736842105263,1.07473684210526,1.35605263157895,0.795366795366795,1.11111111111111
2019,2019-09-01,2,"Inter Milan",0.8023,160,0.650655021834061,1.44375,1.57894736842105,1.21052631578947,1.84859649122807,1.25859649122807,1.99736842105263,1.28684210526316,0.795883361921098,1.30434782608696
2019,2019-09-01,1,"Fiorentina",0.6602,134,0.323232323232323,1.41044776119403,1.15789473684211,1.36842105263158,1.3240350877193,1.36754385964912,1.41342105263158,1.35052631578947,0.795629820051414,0.846153846153846
2019,2019-09-01,1,"Roma",0.7208,75,0.545454545454545,1.05333333333333,1.21052631578947,1.15789473684211,1.42982456140351,1.38438596491228,1.52236842105263,1.48315789473684,0.795717344753747,1.04545454545455
2019,2019-09-01,1,"Hellas Verona",0.5236,75,0.431818181818182,0.813333333333333,0.969005847953216,1.88070175438596,1.1246783625731,1.98555555555556,1.19912280701754,1.98754385964912,0.796145610278373,0.533985507246377
2019,2019-09-01,1,"Sampdoria",0.6043,174,0.304,1.33333333333333,1.68421052631579,1.84210526315789,1.4440350877193,1.66929824561404,1.33263157894737,1.57868421052632,0.79521162890124,0.914285714285714
2019,2019-09-01,3,"Parma",0.5651,83,0.467948717948718,1.07228915662651,1.21052631578947,1.89473684210526,0.947894736842105,1.93684210526316,0.786315789473684,1.94710526315789,0.796153846153846,0.638888888888889
2019,2019-09-14,0,"Juventus",0.8972,228,0.370165745856354,1.32017543859649,1,0,1.66333333333333,0.25,1.97,0.375,0.796153846153846,1
2019,2019-09-14,0,"Udinese",0.6062,71,0.692640692640693,1.43661971830986,0.894736842105263,1.63157894736842,0.952456140350877,1.8180701754386,0.972631578947368,1.88605263157895,0.795813754805639,0.548387096774194
2019,2019-09-14,0,"Sampdoria",0.5896,175,0.673507462686567,1.33142857142857,1,4,1.19666666666667,2.65333333333333,1.27,1.985,0.795134443021767,0.25
2019,2019-09-15,4,"Bologna",0.6189,132,0.371428571428571,1.15151515151515,1,1,1.64333333333333,0.433333333333333,2.045,0.125,0.795822676896846,1
2019,2019-09-15,2,"Atalanta",0.6687,260,0.2,1.2,3,2,2.29333333333333,1.38333333333333,1.865,1.025,0.796335747763102,1.5
2019,2019-09-15,1,"Milan",0.7612,152,0.336244541484716,1.04605263157895,0,1,0.463333333333333,1.01666666666667,0.695,1,0.796761823604602,0
2019,2019-09-15,3,"Cagliari",0.5919,298,0.221932114882507,0.932885906040268,0.684210526315789,1.78947368421053,0.945087719298246,1.8219298245614,1.06394736842105,1.85578947368421,0.797700170357751,0.382352941176471
2019,2019-09-15,2,"Sassuolo",0.619,77,0.493421052631579,1.20779220779221,1,2,1.24,1.84,1.335,1.71,0.79719387755102,0.5
2019,2019-09-15,1,"Lazio",0.7083,94,0.707165109034268,1.91489361702128,3,0,2.1,0.746666666666667,1.575,1.12,0.796941376380629,3
2019,2019-09-16,2,"Lecce",0.5241,58,0.829411764705882,1.29310344827586,0,4,0.72,2.65,1.08,2.125,0.797452229299363,0
2019,2019-09-20,1,"Genoa",0.5956,65,0.821428571428571,1.09230769230769,3,3,1.84,2.69,1.185,2.46,0.796861747243427,1
2019,2019-09-21,1,"Hellas Verona",0.5288,76,0.746666666666667,0.815789473684211,1,0,1.54,1.02,1.785,1.53,0.796610169491525,1
2019,2019-09-21,2,"Inter Milan",0.7962,161,0.483974358974359,1.4472049689441,2,1,1.82333333333333,0.836666666666667,1.685,0.73,0.797457627118644,2
2019,2019-09-21,1,"Brescia",0.5499,83,0.471337579617834,1.10843373493976,0.5,0.5,0.753333333333333,1.165,0.8675,1.485,0.797881355932203,0.5
2019,2019-09-22,2,"Fiorentina",0.6695,135,0.654731457800512,1.40740740740741,1,2,1.45333333333333,2.16333333333333,1.655,2.195,0.79805249788315,0.5
2019,2019-09-22,2,"Roma",0.7231,76,0.634615384615385,1.05263157894737,1,1,0.943333333333333,2.04333333333333,0.89,2.54,0.798561151079137,1
2019,2019-09-22,0,"Parma",0.5715,84,0.52,1.0952380952381,3,1,1.56333333333333,1.46666666666667,0.835,1.675,0.797885835095137,3
2019,2019-09-22,4,"Napoli",0.8269,362,0.138095238095238,1.66574585635359,3.5,3.5,2.32,2.30166666666667,1.6425,1.615,0.799239222316145,1
2019,2019-09-22,0,"Torino",0.6243,279,0.377232142857143,1.18279569892473,3,2,1.56333333333333,2.00666666666667,0.77,1.96,0.798901563160118,1.5
2019,2019-09-22,0,"SPAL",0.5449,226,0.254125412541254,1.4646017699115,0,1,0.5,2.37666666666667,0.75,3.04,0.79789029535865,0
2019,2019-09-24,2,"Juventus",0.8723,229,0.256493506493506,1.31441048034935,0.5,0,1.00666666666667,0.748333333333333,1.2475,1.1225,0.798397300716997,0.5
2019,2019-09-24,0,"Udinese",0.6005,72,0.52,1.41666666666667,0,1,0.32,1.36333333333333,0.48,1.625,0.798397300716997,0
2019,2019-09-25,1,"Sampdoria",0.6062,176,0.434083601286174,1.32386363636364,0.5,3,1.005,2.135,1.245,1.68,0.798145806995365,0.166666666666667
2019,2019-09-25,0,"Bologna",0.6268,133,0.331658291457286,1.17293233082707,2.5,2,2.44166666666667,0.986666666666667,2.56,0.43,0.798145806995365,1.25
2019,2019-09-25,0,"Lazio",0.7055,95,0.62890625,1.90526315789474,2,1,1.79666666666667,1.15,1.645,1.2,0.797809604043808,1.33333333333333
2019,2019-09-25,1,"Cagliari",0.588,299,0.547655068078669,0.939799331103679,3,1,1.35666666666667,1.60666666666667,0.54,1.885,0.798230834035383,3
2019,2019-09-25,0,"Sassuolo",0.6221,78,0.524390243902439,1.21794871794872,1.5,3,1.25333333333333,2.265,1.0925,1.8225,0.797894736842105,0.5
2019,2019-09-25,2,"Atalanta",0.6712,261,0.225519287833828,1.20306513409962,2.5,1.5,2.19166666666667,1.24,1.975,1.0725,0.798736842105263,1.66666666666667
2019,2019-09-25,3,"Lecce",0.5317,59,0.794425087108014,1.30508474576271,1,2.5,1.13833333333333,2.01666666666667,1.1825,1.8375,0.7996632996633,0.4
2019,2019-09-26,1,"Milan",0.7556,153,0.649082568807339,1.04575163398693,0.5,0.5,0.943333333333333,0.67,1.205,0.7425,0.799411269974769,0.5
2019,2019-09-28,0,"SPAL",0.5212,227,0.497787610619469,1.45814977973568,0,2,0.573333333333333,2.26833333333333,0.86,2.3525,0.798739495798319,0
2019,2019-09-28,3,"Inter Milan",0.8035,162,0.512048192771084,1.45061728395062,2,0.5,1.78,0.668333333333333,1.6675,0.74,0.799664006719866,2
2019,2019-09-28,4,"Atalanta",0.6861,262,0.229411764705882,1.20610687022901,2.33333333333333,1,2.13777777777778,1.20555555555556,2.06833333333333,1.28333333333333,0.801007556675063,1.75
2019,2019-09-29,1,"Hellas Verona",0.5527,77,0.795755968169761,0.818181818181818,1,1,1.355,1.48166666666667,1.5075,1.6975,0.801091061686949,0.666666666666667
2019,2019-09-29,0,"Genoa",0.5889,66,0.582278481012658,1.09090909090909,2,3,1.65,2.11833333333333,1.425,1.7125,0.799748638458316,0.666666666666667
2019,2019-09-29,1,"Roma",0.7166,77,0.433823529411765,1.06493506493506,1.5,1,1.48,1.55,1.4325,1.8,0.800167574361123,1.5
2019,2019-09-29,3,"Fiorentina",0.6732,136,0.527777777777778,1.41176470588235,1.5,2,1.465,2.05166666666667,1.41,2.0275,0.801088777219431,0.75
2019,2019-09-29,1,"Brescia",0.5645,84,0.812080536912752,1.10714285714286,0.666666666666667,0.333333333333333,0.787777777777778,0.966666666666667,0.831666666666667,1.275,0.800836820083682,0.666666666666667
2019,2019-09-29,0,"Bologna",0.6397,134,0.358851674641148,1.16417910447761,1.66666666666667,1.33333333333333,1.95333333333333,0.746666666666667,2.195,0.42,0.800501882057716,1
2019,2019-09-30,2,"Torino",0.6184,280,0.237057220708447,1.17857142857143,1.5,1.5,0.985,1.65833333333333,0.69,1.7,0.800334168755221,1
2019,2019-10-05,2,"Milan",0.7315,154,0.30316742081448,1.04545454545455,0.666666666666667,1,1.14888888888889,0.867777777777778,1.40833333333333,0.776666666666667,0.800835073068894,0.5
2019,2019-10-05,0,"Sampdoria",0.5991,177,0.30859375,1.32203389830508,0.666666666666667,2.66666666666667,0.931111111111111,2.05666666666667,1.04666666666667,1.755,0.800166875260743,0.25
2019,2019-10-05,0,"Parma",0.5794,85,0.729299363057325,1.08235294117647,1.5,1.5,0.988333333333333,1.77,0.7275,1.8675,0.799833194328607,1
2019,2019-10-06,1,"Lecce",0.5299,60,0.810725552050473,1.33333333333333,1.66666666666667,2,1.36555555555556,1.69777777777778,1.18333333333333,1.58,0.799250312369846,0.833333333333333
2019,2019-10-06,2,"Lazio",0.7162,96,0.580786026200873,1.88541666666667,1.33333333333333,1,1.58111111111111,1.21,1.67166666666667,1.29,0.799417394923013,1
2019,2019-10-06,0,"Udinese",0.5982,73,0.650717703349282,1.3972602739726,0,0.5,0.385,1.15833333333333,0.5775,1.5275,0.799084858569052,0
2019,2019-10-06,2,"Juventus",0.8729,230,0.413265306122449,1.31739130434783,1,0.333333333333333,1.42222222222222,0.856666666666667,1.60833333333333,1.11,0.7995841995842,1
2019,2019-10-06,1,"Cagliari",0.5869,300,0.204244031830239,0.94,2,0.5,1.02666666666667,1.65,0.53,2.2125,0.799667497921862,2
2019,2019-10-06,0,"Napoli",0.8228,363,0.438948995363215,1.67217630853994,3.66666666666667,2.66666666666667,2.53,1.93222222222222,1.92,1.49833333333333,0.799667497921862,1.375
2019,2019-10-19,1,"Bologna",0.6449,135,0.626038781163435,1.15555555555556,1.25,1.25,1.67333333333333,0.788333333333333,1.95875,0.52625,0.799418604651163,0.833333333333333
2019,2019-10-19,3,"Atalanta",0.7101,263,0.26123595505618,1.21673003802281,2.75,1,2.2475,1.10416666666667,1.9925,1.13125,0.799668187474077,2.2
2019,2019-10-19,0,"Hellas Verona",0.5602,78,0.823529411764706,0.82051282051282,1,1,1.41,1.53888888888889,1.59,1.78333333333333,0.799005387484459,0.75
2019,2019-10-20,0,"SPAL",0.5334,228,0.568998109640832,1.45175438596491,0,2,0.49,2.18888888888889,0.735,2.265,0.798343685300207,0
2019,2019-10-20,2,"Lecce",0.5191,61,0.821114369501466,1.32786885245902,1.5,2.25,1.29583333333333,2.09583333333333,1.16375,2.025,0.798510550268928,0.666666666666667
2019,2019-10-20,1,"Genoa",0.5875,67,0.567741935483871,1.07462686567164,1.33333333333333,3.33333333333333,1.37666666666667,2.29555555555556,1.365,1.8,0.797274979355904,0.4
2019,2019-10-20,0,"Roma",0.7304,78,0.853658536585366,1.06410256410256,1.33333333333333,0.666666666666667,1.76222222222222,1.19222222222222,1.94333333333333,1.43833333333333,0.797274979355904,1.33333333333333
2019,2019-10-20,4,"Inter Milan",0.8006,163,0.326446280991736,1.4601226993865,2.33333333333333,0.666666666666667,1.95444444444444,0.901111111111111,1.73833333333333,1.03666666666667,0.797938144329897,2.33333333333333
2019,2019-10-20,0,"Torino",0.612,281,0.212885154061625,1.18149466192171,1.66666666666667,2,1.21666666666667,1.90444444444444,0.95,1.87666666666667,0.797609233305853,0.833333333333333
2019,2019-10-21,0,"Fiorentina",0.7002,137,0.368663594470046,1.42335766423358,2,1.66666666666667,1.79444444444444,1.64,1.73666666666667,1.585,0.797609233305853,1.2
2019,2019-10-25,1,"Sassuolo",0.5912,79,0.50314465408805,1.20253164556962,1,2.33333333333333,0.941111111111111,1.91777777777778,0.886666666666667,1.65166666666667,0.798021434460016,0.428571428571429
2019,2019-10-26,1,"Brescia",0.5691,85,0,1.10588235294118,0.75,0.75,0.89,1.345,0.94125,1.62375,0.797447509263071,0.6
2019,2019-10-26,2,"Parma",0.58,86,0.654618473895582,1.06976744186047,1,1.33333333333333,0.771111111111111,1.53555555555556,0.653333333333333,1.60333333333333,0.797614150555327,0.75
2019,2019-10-26,1,"Juventus",0.8714,231,0.206185567010309,1.32034632034632,1.25,0.5,1.48083333333333,0.970833333333333,1.565,1.19375,0.797697368421053,1.25
